"service","year","month","rows","status","run_tag","ts_utc","error"
"yellow",2015,1,"12741035","OK","ingesta_20251110_043934","2025-11-10T04:39:37Z",""
"yellow",2015,2,"12442394","OK","ingesta_20251110_043934","2025-11-10T04:42:59Z",""
"yellow",2015,4,"13063758","OK","ingesta_20251110_043934","2025-11-10T04:46:14Z",""
"yellow",2015,5,"13157677","OK","ingesta_20251110_043934","2025-11-10T04:49:46Z",""
"yellow",2015,6,"12324936","OK","ingesta_20251110_043934","2025-11-10T04:53:40Z",""
"yellow",2015,7,"11559666","OK","ingesta_20251110_043934","2025-11-10T04:56:46Z",""
"yellow",2015,8,"11123123","OK","ingesta_20251110_043934","2025-11-10T04:59:53Z",""
"yellow",2015,9,"11218122","OK","ingesta_20251110_043934","2025-11-10T05:03:02Z",""
"yellow",2015,10,"12307333","OK","ingesta_20251110_043934","2025-11-10T05:05:56Z",""
"yellow",2015,11,"11305240","OK","ingesta_20251110_043934","2025-11-10T05:09:04Z",""
"yellow",2015,12,"11452996","OK","ingesta_20251110_043934","2025-11-10T05:12:06Z",""
"yellow",2016,1,"10905067","OK","ingesta_20251110_043934","2025-11-10T05:15:20Z",""
"yellow",2016,2,"11375412","OK","ingesta_20251110_043934","2025-11-10T05:18:48Z",""
"yellow",2016,3,"12203824","OK","ingesta_20251110_043934","2025-11-10T05:22:03Z",""
"yellow",2016,4,"11927996","OK","ingesta_20251110_043934","2025-11-10T05:25:33Z",""
"yellow",2016,5,"11832049","OK","ingesta_20251110_043934","2025-11-10T05:29:11Z",""
"yellow",2016,6,"11131645","OK","ingesta_20251110_043934","2025-11-10T05:32:41Z",""
"yellow",2016,7,"10294080","OK","ingesta_20251110_043934","2025-11-10T05:35:53Z",""
"yellow",2016,8,"9942263","OK","ingesta_20251110_043934","2025-11-10T05:39:11Z",""
"yellow",2016,9,"10116018","OK","ingesta_20251110_043934","2025-11-10T05:42:04Z",""
"yellow",2016,10,"10854626","OK","ingesta_20251110_043934","2025-11-10T05:45:25Z",""
"yellow",2016,11,"10102128","OK","ingesta_20251110_043934","2025-11-10T05:48:24Z",""
"yellow",2016,12,"10446697","OK","ingesta_20251110_043934","2025-11-10T05:51:23Z",""
"yellow",2017,1,"9710820","OK","ingesta_20251110_043934","2025-11-10T05:54:42Z",""
"yellow",2017,2,"9169775","OK","ingesta_20251110_043934","2025-11-10T05:57:29Z",""
"yellow",2017,3,"10295441","OK","ingesta_20251110_043934","2025-11-10T06:00:22Z",""
"yellow",2017,4,"10047135","OK","ingesta_20251110_043934","2025-11-10T06:03:48Z",""
"yellow",2017,5,"10102127","OK","ingesta_20251110_043934","2025-11-10T06:06:55Z",""
"yellow",2017,6,"9656993","OK","ingesta_20251110_043934","2025-11-10T06:09:52Z",""
"yellow",2017,7,"8588486","OK","ingesta_20251110_043934","2025-11-10T06:13:01Z",""
"yellow",2017,8,"8422153","OK","ingesta_20251110_043934","2025-11-10T06:15:25Z",""
"yellow",2017,9,"8945421","OK","ingesta_20251110_043934","2025-11-10T06:17:55Z",""
"yellow",2017,10,"9768672","OK","ingesta_20251110_043934","2025-11-10T06:20:30Z",""
"yellow",2017,11,"9284803","OK","ingesta_20251110_043934","2025-11-10T06:23:38Z",""
"yellow",2017,12,"9508501","OK","ingesta_20251110_043934","2025-11-10T06:26:18Z",""
"yellow",2018,1,"8760687","OK","ingesta_20251110_043934","2025-11-10T06:28:56Z",""
"yellow",2018,2,"8492819","OK","ingesta_20251110_043934","2025-11-10T06:31:15Z",""
"yellow",2018,3,"9431289","OK","ingesta_20251110_043934","2025-11-10T06:33:41Z",""
"yellow",2018,4,"9306216","OK","ingesta_20251110_043934","2025-11-10T06:36:23Z",""
"yellow",2018,5,"9224788","OK","ingesta_20251110_043934","2025-11-10T06:38:59Z",""
"yellow",2018,6,"8714667","OK","ingesta_20251110_043934","2025-11-10T06:41:38Z",""
"yellow",2018,7,"7851143","OK","ingesta_20251110_043934","2025-11-10T06:43:59Z",""
"yellow",2018,8,"7855040","OK","ingesta_20251110_043934","2025-11-10T06:46:28Z",""
"yellow",2018,9,"8049094","OK","ingesta_20251110_043934","2025-11-10T06:48:57Z",""
"yellow",2018,10,"8834520","OK","ingesta_20251110_043934","2025-11-10T06:51:48Z",""
